country,whoregion,iso,GDP2015,totpop
Afghanistan,easternmediteranean,AFG,565.438,32526000
Angola,africa,AGO,4101.47,25022000
Armenia,europe,ARM,3489.13,3018000
Azerbaijan,europe,AZE,5497.49,9753000
Bangladesh,southeastasia,BGD,1411.04,160995000
Benin,africa,BEN,770.812,10880000
Bhutan,southeastasia,BTN,2656,775000
Bolivia,americas,BOL,3076.79,10724000
Burkina Faso,africa,BFA,645.789,18107000
Burundi,africa,BDI,324.782,11179000
Cambodia,westernpacific,KHM,1229.607,15578000
Cameroon,africa,CMR,1238.489,23343000
Central African Republic,africa,CAF,364.231,4899000
Chad,africa,TCD,852.159,14037000
Comoros,africa,COM,753.495,788000
Congo Rep,africa,COG,1851.2,4618000
Dem Republic of Congo,africa,COD,494.651,77269000
Cote dIvoire,africa,CIV,1458.825,22701000
Cuba,americas,CUB,7650.23,11390000
Djibouti,easternmediteranean,DJI,1908.312,887000
Eritrea,africa,ERI,823.111,5228000
Ethiopia,africa,ETH,795.234,99390000
Gambia,africa,GMB,469.285,1991000
Georgia,europe,GEO,3757.06,3998000
Ghana,africa,GHA,1569.036,27411000
Guinea,africa,GIN,514.635,12608000
Guinea Bissau,africa,GNB,694.043,1845000
Guyana,americas,GUY,4127.35,765000
Haiti,americas,HTI,761.154,10712000
Honduras,americas,HND,2528.89,8071000
India,southeastasia,IND,1723.301,1311049000
Indonesia,southeastasia,IDN,3346.49,257563000
Kenya,africa,KEN,1516.326,46052000
Kiribati,westernpacific,KIR,1424.28,113000
DPR Korea,southeastasia,PRK,NA,25156000
Kyrgyz Republic,europe,KGZ,1072.747,5941000
Lao PDR,westernpacific,LAO,1925.228,6802000
Lesotho,africa,LSO,1170.214,2134000
Liberia,africa,LBR,479.813,4505000
Madagascar,africa,MDG,390.907,24235000
Malawi,africa,MWI,294.763,17215000
Mali,africa,MLI,830.149,17600000
Mauritania,africa,MRT,1242.575,4066000
Moldova,europe,MDA,1848.08,4070000
Mongolia,westernpacific,MNG,3967.83,2959000
Mozambique,africa,MOZ,392.447,27978000
Myanmar,southeastasia,MMR,1269.271,53899000
Nepal,southeastasia,NPL,733.17,28511000
Nicaragua,americas,NIC,2120.308,6080000
Niger,africa,NER,411.056,19900000
Nigeria,africa,NGA,2210.638,182203000
Pakistan,easternmediteranean,PAK,1468.203,188927000
Papua New Guinea,westernpacific,PNG,2528.442,7619000
Rwanda,africa,RWA,729.093,11609000
Sao Tome e Principe,africa,STP,1687.313,191000
Senegal,africa,SEN,959.714,15127000
Sierra Leone,africa,SLE,618.184,6454000
Solomon Islands,westernpacific,SLB,1971.164,583000
Somalia,easternmediteranean,SOM,549.27,10786000
Republic of Sudan,easternmediteranean,SDN,233.145,40238000
South Sudan,easternmediteranean,SSD,2384.451,12338000
Sri Lanka,southeastasia,LKA,3926.17,20715000
Tajikistan,europe,TJK,799.826,8483000
Tanzania,africa,TZA,970.205,53471000
Timor Leste,southeastasia,TLS,1216.88,1184000
Togo,africa,TGO,590.454,7306000
Uganda,africa,UGA,637.568,39031000
Ukraine,europe,UKR,2114.95,44822000
Uzbekistan,europe,UZB,2132.11,29892000
Vietnam,westernpacific,VNM,2110.92,93448000
Yemen,easternmediteranean,YEM,937.712,26834000
Zambia,africa,ZMB,1274.759,16212000
Zimbabwe,africa,ZWE,977.444,15603000
